approve,id,label,aliases,era_id,note
,pe.qianlong,乾隆帝,,2,清の最大版図。広州一港に制限
,pe.nurhaci,ヌルハチ,,2,後金の建国。八旗
,pe.osman1,オスマン1世,,1,オスマン帝国の建国者
,pe.mehmed2,メフメト2世,,1,コンスタンティノープル攻略
,pe.suleyman1,スレイマン1世,スレイマン大帝,2,オスマンの最盛期。第1次ウィーン包囲
,pe.akbar,アクバル,,2,ムガル帝国。人頭税廃止・マンサブダール制
,pe.aurangzeb,アウラングゼーブ,,2,ムガル。人頭税復活・最大版図
,pe.luther,ルター,マルティン・ルター,2,九十五カ条の論題
,pe.calvin,カルヴァン,カルヴィン,2,予定説。ジュネーヴの改革
,pe.henry8,ヘンリ8世,ヘンリー8世,2,首長法によるイギリス国教会成立
,pe.elizabeth1,エリザベス1世,,2,統一法。アルマダ海戦
,pe.philip2_spain,フェリペ2世,,2,スペインの最盛期。無敵艦隊
,pe.columbus,コロンブス,,2,大西洋横断
,pe.magellan,マゼラン,マガリャンイス,2,世界周航
,pe.cortes,コルテス,,2,アステカ征服
,pe.pizarro,ピサロ,,2,インカ征服
,pe.copernicus,コペルニクス,,2,地動説
,pe.newton,ニュートン,,2,万有引力の法則
,pe.louis14,ルイ14世,,2,絶対王政の典型。ナントの王令廃止
,pe.cromwell,クロムウェル,,2,ピューリタン革命。護国卿
,pe.peter1_russia,ピョートル1世,ピョートル大帝,2,西欧化改革。ペテルブルク建設
,pe.catherine2,エカチェリーナ2世,,2,啓蒙専制君主。ポーランド分割
,pe.friedrich2,フリードリヒ2世,フリードリヒ大王,2,プロイセン。シュレジエン獲得
,pe.maria_theresia,マリア・テレジア,,2,オーストリア継承戦争。外交革命
,pe.washington,ワシントン,ジョージ・ワシントン,2,アメリカ独立戦争の総司令官・初代大統領
,pe.robespierre,ロベスピエール,,2,ジャコバン派の恐怖政治
,pe.napoleon1,ナポレオン1世,ナポレオン・ボナパルト;ナポレオン,2,統領政府・帝政・大陸封鎖令
,pe.metternich,メッテルニヒ,,2,ウィーン体制の主導者
,pe.bismarck,ビスマルク,,2,ドイツ統一。鉄血政策・社会主義者鎮圧法
,pe.cavour,カヴール,,2,サルデーニャ首相。イタリア統一
,pe.garibaldi,ガリバルディ,,2,両シチリア王国を献上
,pe.lincoln,リンカン,リンカーン,2,南北戦争。奴隷解放宣言
,pe.victoria,ヴィクトリア女王,,2,インド帝国の皇帝を兼ねた
,pe.marx,マルクス,カール・マルクス,2,共産党宣言・資本論
,pe.darwin,ダーウィン,,2,種の起源
,pe.watt,ワット,ジェームズ・ワット,2,蒸気機関の改良
,pe.hong_xiuquan,洪秀全,,2,太平天国の指導者
,pe.li_hongzhang,李鴻章,,2,洋務運動。下関条約の全権
,pe.kang_youwei,康有為,,2,変法運動（戊戌の変法）
,pe.sun_yatsen,孫文,孫中山,2,三民主義。中華民国臨時大総統
,pe.yuan_shikai,袁世凱,,2,清朝の実力者。中華民国大総統
,pe.meiji,明治天皇,,2,明治維新期の日本の天皇
,pe.wilson,ウィルソン,ウッドロー・ウィルソン,3,十四カ条。国際連盟の提唱
,pe.lenin,レーニン,,3,ロシア革命。四月テーゼ・ネップ
,pe.stalin,スターリン,,3,五カ年計画。独ソ不可侵条約
,pe.trotsky,トロツキー,,3,世界革命論
,pe.hitler,ヒトラー,アドルフ・ヒトラー,3,ナチ党。全権委任法
,pe.mussolini,ムッソリーニ,,3,ファシスト党。ローマ進軍
,pe.roosevelt_f,フランクリン・ローズヴェルト,F・ローズヴェルト;フランクリン・ルーズベルト,3,ニューディール政策
,pe.churchill,チャーチル,,3,第二次世界大戦期の英首相。鉄のカーテン演説
,pe.gandhi,ガンディー,ガンジー;マハトマ・ガンディー,3,非暴力・不服従。塩の行進
,pe.nehru,ネルー,,3,インド初代首相。非同盟
,pe.jinnah,ジンナー,,3,全インド・ムスリム連盟。パキスタン建国
,pe.ataturk,ムスタファ・ケマル,ケマル・アタテュルク;アタテュルク,3,トルコ共和国の建国。カリフ制廃止
,pe.reza_shah,レザー・ハーン,レザー・シャー,3,パフレヴィー朝の創始
,pe.mao_zedong,毛沢東,,3,中国共産党。大躍進・文化大革命
,pe.chiang_kaishek,蔣介石,蒋介石,3,国民党。北伐・台湾へ
,pe.zhou_enlai,周恩来,,3,平和五原則
,pe.deng_xiaoping,鄧小平,,3,改革開放。四つの現代化
,pe.truman,トルーマン,,3,トルーマン・ドクトリン
,pe.marshall,マーシャル,,3,ヨーロッパ経済復興援助計画
,pe.khrushchev,フルシチョフ,,3,スターリン批判。平和共存
,pe.kennedy,ケネディ,J・F・ケネディ,3,キューバ危機
,pe.gorbachev,ゴルバチョフ,,3,ペレストロイカ・グラスノスチ
,pe.nasser,ナセル,,3,スエズ運河国有化。アラブ民族主義
,pe.ho_chi_minh,ホー・チ・ミン,,3,ベトナム独立同盟会
,pe.sukarno,スカルノ,,3,インドネシア独立。バンドン会議
,pe.mandela,マンデラ,ネルソン・マンデラ,3,アパルトヘイト撤廃
,pe.king_mlk,キング牧師,マーティン・ルーサー・キング,3,公民権運動
,pe.de_gaulle,ド・ゴール,,3,自由フランス。第五共和政
,pe.adenauer,アデナウアー,,3,西ドイツ初代首相
,pe.brandt,ブラント,ヴィリー・ブラント,3,東方外交
,pe.thatcher,サッチャー,,3,新自由主義的改革
,pe.reagan,レーガン,,3,レーガノミクス。戦略防衛構想
,pe.khomeini,ホメイニ,,3,イラン革命
,pe.pol_pot,ポル・ポト,,3,カンボジアの急進的改造
,pe.tito,ティトー,,3,ユーゴスラヴィアの自主路線
,pe.sargon1,サルゴン1世,,1,アッカドの統一
,pe.nebuchadnezzar2,ネブカドネザル2世,,1,新バビロニア。バビロン捕囚
,pe.cambyses2,カンビュセス2世,,1,エジプト征服
,pe.xerxes1,クセルクセス1世,,1,ペルシア戦争。サラミスで敗北
,pe.darius3,ダレイオス3世,,1,アケメネス朝最後の王
,pe.ardashir1,アルデシール1世,,1,ササン朝の建国
,pe.shapur1,シャープール1世,,1,ローマ皇帝ウァレリアヌスを捕虜に
,pe.khosrow1,ホスロー1世,ホスロー1世アヌーシルヴァーン,1,ササン朝の最盛期
,pe.zoroaster,ゾロアスター,ツァラトゥストラ,1,ゾロアスター教の開祖
,pe.mani,マニ,,1,マニ教の開祖
,pe.imhotep,イムホテプ,,1,階段ピラミッドの設計
,pe.khufu,クフ王,,1,ギザの大ピラミッド
,pe.akhenaten,アメンホテプ4世,イクナートン,1,アマルナ改革
,pe.tutankhamun,ツタンカーメン,,1,アマルナ改革の否定
,pe.ramesses2,ラメス2世,ラメセス2世,1,カデシュの戦い
,pe.cleopatra7,クレオパトラ7世,クレオパトラ,1,プトレマイオス朝最後の女王
,pe.lycurgus,リュクルゴス,,1,スパルタの国制の伝説的制定者
,pe.themistocles,テミストクレス,,1,サラミスの海戦を指揮
,pe.miltiades,ミルティアデス,,1,マラトンの戦い
,pe.philip2_macedon,フィリッポス2世,,1,マケドニアの強大化
,pe.homer,ホメロス,,1,叙事詩
,pe.herodotus,ヘロドトス,,1,歴史の父
,pe.thucydides,トゥキディデス,,1,史料批判
,pe.socrates,ソクラテス,,1,無知の知
,pe.plato,プラトン,,1,イデア論
,pe.aristotle,アリストテレス,,1,万学の祖
,pe.hippocrates,ヒッポクラテス,,1,医学の父
,pe.euclid,エウクレイデス,ユークリッド,1,幾何学
,pe.archimedes,アルキメデス,,1,浮力の原理
,pe.eratosthenes,エラトステネス,,1,地球の周囲を測定
,pe.hannibal,ハンニバル,,1,第2回ポエニ戦争
,pe.scipio,スキピオ,大スキピオ,1,ザマの戦い
,pe.gracchus,グラックス兄弟,ティベリウス・グラックス,1,自作農の再建
,pe.spartacus,スパルタクス,,1,剣闘士の反乱
,pe.pompeius,ポンペイウス,,1,第1回三頭政治
,pe.antonius,アントニウス,,1,アクティウムで敗北
,pe.nero,ネロ,,1,キリスト教徒の迫害
,pe.trajanus,トラヤヌス,,1,ローマ帝国の最大版図
,pe.hadrianus,ハドリアヌス,,1,長城の建設
,pe.marcus_aurelius,マルクス・アウレリウス,,1,五賢帝最後。自省録
,pe.caracalla,カラカラ,,1,アントニヌス勅令
,pe.cicero,キケロ,,1,ラテン散文
,pe.vergilius,ウェルギリウス,,1,アエネイス
,pe.tacitus,タキトゥス,,1,ゲルマニア
,pe.ptolemaios,プトレマイオス,,1,天動説
,pe.jesus,イエス,イエス・キリスト,1,キリスト教の開祖
,pe.paulus,パウロ,,1,異邦人への伝道
,pe.augustinus,アウグスティヌス,,1,神の国
,pe.hieronymus,ヒエロニムス,,1,ウルガタ聖書
,pe.athanasius,アタナシウス,,1,三位一体説
,pe.arius,アリウス,,1,アリウス派
,pe.nestorius,ネストリウス,,1,ネストリウス派
,pe.buddha,ガウタマ・シッダールタ,ブッダ;釈迦,1,仏教の開祖
,pe.mahavira,ヴァルダマーナ,マハーヴィーラ,1,ジャイナ教の開祖
,pe.chandragupta_maurya,チャンドラグプタ,,1,マウリヤ朝の建国
,pe.chandragupta1_gupta,チャンドラグプタ1世,,1,グプタ朝の建国
,pe.harsha,ハルシャ・ヴァルダナ,ハルシャ王,1,ヴァルダナ朝
,pe.kalidasa,カーリダーサ,,1,シャクンタラー
,pe.nanak,ナーナク,,2,シク教の開祖
,pe.babur,バーブル,,2,ムガル帝国の建国
,pe.shah_jahan,シャー・ジャハーン,,2,タージ・マハル
,pe.confucius,孔子,,1,儒家の祖
,pe.laozi,老子,,1,道家
,pe.mencius,孟子,,1,性善説
,pe.xunzi,荀子,,1,性悪説
,pe.mozi,墨子,,1,兼愛・非攻
,pe.han_fei,韓非,韓非子,1,法家の大成
,pe.shang_yang,商鞅,,1,秦の変法
,pe.li_si,李斯,,1,始皇帝の丞相。焚書坑儒
,pe.dong_zhongshu,董仲舒,,1,儒学の官学化を献策
,pe.sima_qian,司馬遷,,1,史記
,pe.ban_gu,班固,,1,漢書
,pe.cai_lun,蔡倫,,1,製紙法の改良
,pe.zhang_qian,張騫,,1,西域派遣
,pe.ban_chao,班超,,1,西域都護
,pe.cao_cao,曹操,,1,魏の基礎
,pe.faxian,法顕,,1,仏国記
,pe.xuanzang,玄奘,三蔵法師,1,大唐西域記
,pe.yijing,義浄,,1,南海寄帰内法伝
,pe.xiaowen,孝文帝,,1,漢化政策
,pe.yang_jian,文帝,楊堅,1,隋の建国。科挙
,pe.yang_guang,煬帝,,1,大運河
,pe.li_yuan,高祖,李淵,1,唐の建国
,pe.an_lushan,安禄山,,1,安史の乱
,pe.li_bai,李白,,1,詩仙
,pe.du_fu,杜甫,,1,詩聖
,pe.han_yu,韓愈,,1,古文復興
,pe.zhao_kuangyin,趙匡胤,太祖,1,宋の建国
,pe.wang_anshi,王安石,,1,新法
,pe.sima_guang,司馬光,,1,資治通鑑。旧法党
,pe.zhu_xi,朱熹,朱子,1,朱子学
,pe.wang_shouren,王守仁,王陽明,2,陽明学
,pe.yelu_abaoji,耶律阿保機,,1,遼の建国
,pe.wanyan_aguda,完顔阿骨打,,1,金の建国
,pe.batu,バトゥ,,1,キプチャク・ハン国
,pe.hulagu,フラグ,,1,イル・ハン国。バグダード攻略
,pe.timur,ティムール,,1,ティムール朝
,pe.zhang_juzheng,張居正,,2,明の財政改革
,pe.li_zicheng,李自成,,2,明を滅ぼす
,pe.zheng_chenggong,鄭成功,国姓爺,2,台湾で明の復興を図る
,pe.li_shizhen,李時珍,,2,本草綱目
,pe.song_yingxing,宋応星,,2,天工開物
,pe.xu_guangqi,徐光啓,,2,農政全書。マテオ・リッチと交流
,pe.matteo_ricci,マテオ・リッチ,利瑪竇,2,坤輿万国全図
,pe.zeng_guofan,曽国藩,,2,湘軍。洋務運動
,pe.cixi,西太后,,2,戊戌の政変
,pe.liang_qichao,梁啓超,,2,変法運動
,pe.lu_xun,魯迅,,3,阿Q正伝。文学革命
,pe.chen_duxiu,陳独秀,,3,新青年。中国共産党
,pe.hu_shi,胡適,,3,白話文学
,pe.zhang_xueliang,張学良,,3,西安事件
,pe.lin_zexu,林則徐,,2,アヘンの没収
,pe.hong_taiji,ホンタイジ,,2,国号を清に改める
,pe.muhammad_ali,ムハンマド・アリー,,2,エジプトの近代化
,pe.saladin,サラディン,サラーフ・アッディーン,1,アイユーブ朝。イェルサレム奪回
,pe.ibn_sina,イブン・シーナー,アヴィケンナ,1,医学典範
,pe.ibn_rushd,イブン・ルシュド,アヴェロエス,1,アリストテレスの注釈
,pe.ibn_khaldun,イブン・ハルドゥーン,,1,世界史序説
,pe.ibn_battuta,イブン・バットゥータ,,1,三大陸周遊記
,pe.al_khwarizmi,フワーリズミー,,1,代数学
,pe.omar_khayyam,ウマル・ハイヤーム,,1,ルバイヤート
,pe.rashid_al_din,ラシード・アッディーン,,1,集史
,pe.sinan,シナン,,2,スレイマン・モスク
,pe.abbas1,アッバース1世,,2,サファヴィー朝の最盛期
,pe.ismail1,イスマーイール1世,,2,サファヴィー朝の建国
,pe.selim1,セリム1世,,2,マムルーク朝を滅ぼす
,pe.midhat,ミドハト・パシャ,,2,ミドハト憲法
,pe.abd_al_hamid2,アブデュルハミト2世,,2,憲法の停止
,pe.clovis,クローヴィス,,1,フランク王国の建国
,pe.charles_martel,カール・マルテル,,1,トゥール・ポワティエ間の戦い
,pe.pippin,ピピン,小ピピン,1,カロリング朝。教皇領の起源
,pe.alfred_great,アルフレッド大王,,1,デーン人を撃退
,pe.william1,ウィリアム1世,征服王,1,ノルマン・コンクェスト
,pe.henry2_england,ヘンリ2世,,1,プランタジネット朝
,pe.john_lackland,ジョン王,失地王,1,マグナ・カルタ
,pe.edward1,エドワード1世,,1,模範議会
,pe.philip4,フィリップ4世,,1,三部会。アヴィニョン捕囚
,pe.joan_of_arc,ジャンヌ・ダルク,,1,オルレアンの解放
,pe.henry7,ヘンリ7世,,2,テューダー朝
,pe.charles5_hre,カール5世,,2,神聖ローマ皇帝。ヴォルムス帝国議会
,pe.karl4,カール4世,,1,金印勅書
,pe.frederick1_barbarossa,フリードリヒ1世,赤髭王;バルバロッサ,1,イタリア政策
,pe.urban2,ウルバヌス2世,,1,十字軍の提唱
,pe.boniface8,ボニファティウス8世,,1,アナーニ事件
,pe.wycliffe,ウィクリフ,,1,聖書の英訳
,pe.hus,フス,,1,コンスタンツ公会議で火刑
,pe.gutenberg,グーテンベルク,,1,活版印刷
,pe.dante,ダンテ,,1,神曲
,pe.petrarca,ペトラルカ,,1,人文主義
,pe.boccaccio,ボッカチオ,,1,デカメロン
,pe.machiavelli,マキァヴェリ,マキャヴェリ,2,君主論
,pe.erasmus,エラスムス,,2,愚神礼讃
,pe.thomas_more,トマス・モア,,2,ユートピア
,pe.leonardo,レオナルド・ダ・ヴィンチ,,2,万能人
,pe.michelangelo,ミケランジェロ,,2,最後の審判
,pe.raphael,ラファエロ,,2,アテネの学堂
,pe.brueghel,ブリューゲル,,2,農民の生活
,pe.duerer,デューラー,,2,ドイツ・ルネサンス
,pe.shakespeare,シェークスピア,シェイクスピア,2,ハムレット
,pe.cervantes,セルバンテス,,2,ドン・キホーテ
,pe.rabelais,ラブレー,,2,ガルガンチュア
,pe.montaigne,モンテーニュ,,2,エセー
,pe.dias,バルトロメウ・ディアス,,2,喜望峰
,pe.vasco_da_gama,ヴァスコ・ダ・ガマ,,2,インド航路
,pe.amerigo,アメリゴ・ヴェスプッチ,,2,新大陸の確認
,pe.balboa,バルボア,,2,太平洋に到達
,pe.las_casas,ラス・カサス,,2,先住民の擁護
,pe.zwingli,ツヴィングリ,,2,チューリヒの改革
,pe.loyola,イグナティウス・ロヨラ,,2,イエズス会
,pe.xavier,フランシスコ・ザビエル,,2,日本布教
,pe.william_orange,オラニエ公ウィレム,オレンジ公ウィリアム,2,オランダ独立
,pe.henry4_france,アンリ4世,,2,ナントの王令。ブルボン朝
,pe.richelieu,リシュリュー,,2,ルイ13世の宰相。三十年戦争に介入
,pe.mazarin,マザラン,,2,フロンドの乱を鎮圧
,pe.colbert,コルベール,,2,重商主義
,pe.wallenstein,ヴァレンシュタイン,,2,三十年戦争の傭兵隊長
,pe.gustav_adolf,グスタフ・アドルフ,,2,スウェーデン。三十年戦争
,pe.charles1_england,チャールズ1世,,2,処刑された国王
,pe.charles2_england,チャールズ2世,,2,王政復古
,pe.james2,ジェームズ2世,,2,名誉革命で亡命
,pe.william3,ウィリアム3世,,2,権利の章典
,pe.walpole,ウォルポール,,2,責任内閣制
,pe.frederick_wilhelm1,フリードリヒ・ヴィルヘルム1世,,2,プロイセンの軍国化
,pe.joseph2,ヨーゼフ2世,,2,啓蒙専制。農奴解放
,pe.charles12,カール12世,,2,スウェーデン。北方戦争
,pe.hobbes,ホッブズ,,2,リヴァイアサン
,pe.locke,ロック,ジョン・ロック,2,統治二論
,pe.montesquieu,モンテスキュー,,2,法の精神
,pe.voltaire,ヴォルテール,,2,啓蒙思想
,pe.rousseau,ルソー,ジャン・ジャック・ルソー,2,社会契約論
,pe.diderot,ディドロ,,2,百科全書
,pe.adam_smith,アダム・スミス,,2,国富論
,pe.malthus,マルサス,,2,人口論
,pe.ricardo,リカード,,2,比較生産費説
,pe.bentham,ベンサム,,2,功利主義
,pe.kant,カント,,2,純粋理性批判
,pe.hegel,ヘーゲル,,2,弁証法
,pe.descartes,デカルト,,2,方法序説
,pe.bacon_f,フランシス・ベーコン,,2,新オルガヌム
,pe.galilei,ガリレイ,ガリレオ・ガリレイ,2,地動説
,pe.kepler,ケプラー,,2,惑星運動の法則
,pe.harvey,ハーヴェー,,2,血液循環説
,pe.jenner,ジェンナー,,2,種痘法
,pe.linne,リンネ,,2,分類学
,pe.lavoisier,ラヴォワジェ,,2,質量保存の法則
,pe.hargreaves,ハーグリーヴズ,,2,ジェニー紡績機
,pe.arkwright,アークライト,,2,水力紡績機
,pe.crompton,クロンプトン,,2,ミュール紡績機
,pe.cartwright,カートライト,,2,力織機
,pe.stephenson,スティーヴンソン,,2,蒸気機関車
,pe.fulton,フルトン,,2,蒸気船
,pe.whitney,ホイットニー,,2,綿繰り機
,pe.morse,モース,モールス,2,電信
,pe.bell,ベル,グラハム・ベル,2,電話
,pe.edison,エディソン,エジソン,2,白熱電球
,pe.nobel,ノーベル,,2,ダイナマイト
,pe.daimler,ダイムラー,,2,ガソリン自動車
,pe.diesel,ディーゼル,,2,ディーゼル機関
,pe.marconi,マルコーニ,,2,無線電信
,pe.wright_brothers,ライト兄弟,,2,初飛行
,pe.pasteur,パストゥール,,2,細菌学
,pe.koch,コッホ,,2,結核菌
,pe.roentgen,レントゲン,,2,X線
,pe.curie_marie,キュリー夫人,マリ・キュリー,2,ラジウム
,pe.einstein,アインシュタイン,,3,相対性理論
,pe.freud,フロイト,,3,精神分析
,pe.jefferson,ジェファソン,トマス・ジェファソン,2,独立宣言の起草
,pe.franklin,フランクリン,ベンジャミン・フランクリン,2,独立戦争の外交
,pe.hamilton,ハミルトン,,2,連邦派
,pe.monroe,モンロー,,2,モンロー宣言
,pe.jackson,ジャクソン,,2,ジャクソニアン・デモクラシー
,pe.bolivar,シモン・ボリバル,ボリバル,2,南米の独立
,pe.san_martin,サン・マルティン,,2,南米の独立
,pe.hidalgo,イダルゴ,,2,メキシコ独立運動
,pe.toussaint,トゥサン・ルヴェルチュール,,2,ハイチ独立
,pe.louis18,ルイ18世,,2,ブルボン復古王政
,pe.charles10,シャルル10世,,2,七月革命で追放
,pe.louis_philippe,ルイ・フィリップ,,2,七月王政
,pe.napoleon3,ナポレオン3世,ルイ・ナポレオン,2,第二帝政
,pe.thiers,ティエール,,2,パリ・コミューンの鎮圧
,pe.alexander2,アレクサンドル2世,,2,農奴解放令
,pe.nicholas2,ニコライ2世,,2,ロマノフ朝最後の皇帝
,pe.stolypin,ストルイピン,,2,ミール解体
,pe.witte,ウィッテ,,2,ロシアの工業化
,pe.wilhelm1,ヴィルヘルム1世,,2,ドイツ帝国初代皇帝
,pe.wilhelm2,ヴィルヘルム2世,,2,世界政策
,pe.disraeli,ディズレーリ,,2,スエズ運河株の買収
,pe.gladstone,グラッドストン,,2,自由党。教育法
,pe.rhodes,セシル・ローズ,,2,アフリカ縦断政策
,pe.chamberlain_j,ジョゼフ・チェンバレン,,2,植民地相
,pe.roosevelt_t,セオドア・ローズヴェルト,,2,棍棒外交
,pe.taft,タフト,,2,ドル外交
,pe.list_f,リスト,フリードリヒ・リスト,2,保護貿易論
,pe.ranke,ランケ,,2,近代歴史学
,pe.comte,コント,,2,実証主義
,pe.mill,ミル,ジョン・スチュアート・ミル,2,自由論
,pe.owen,オーウェン,ロバート・オーウェン,2,空想的社会主義
,pe.saint_simon,サン・シモン,,2,空想的社会主義
,pe.fourier,フーリエ,,2,空想的社会主義
,pe.engels,エンゲルス,,2,共産党宣言
,pe.bakunin,バクーニン,,2,無政府主義
,pe.bernstein,ベルンシュタイン,,2,修正主義
,pe.dickens,ディケンズ,,2,オリヴァー・トゥイスト
,pe.hugo,ユゴー,ヴィクトル・ユゴー,2,レ・ミゼラブル
,pe.balzac,バルザック,,2,人間喜劇
,pe.zola,ゾラ,,2,ドレフュス事件で告発
,pe.tolstoy,トルストイ,,2,戦争と平和
,pe.dostoevsky,ドストエフスキー,,2,罪と罰
,pe.goethe,ゲーテ,,2,ファウスト
,pe.beethoven,ベートーヴェン,,2,交響曲
,pe.monet,モネ,クロード・モネ,2,印象派の画家。ジャン・モネとは別人
,pe.van_gogh,ゴッホ,,2,後期印象派
,pe.picasso,ピカソ,,3,ゲルニカ
,pe.byron,バイロン,,2,ギリシア独立戦争に参加
,pe.keynes,ケインズ,,3,有効需要。修正資本主義
,pe.hindenburg,ヒンデンブルク,,3,ヴァイマル共和国大統領
,pe.stresemann,シュトレーゼマン,,3,ロカルノ条約
,pe.briand,ブリアン,,3,不戦条約
,pe.chamberlain_n,ネヴィル・チェンバレン,,3,宥和政策
,pe.franco,フランコ,,3,スペイン内戦
,pe.petain,ペタン,,3,ヴィシー政府
,pe.eisenhower,アイゼンハワー,,3,ノルマンディー上陸作戦の総指揮
,pe.attlee,アトリー,,3,ゆりかごから墓場まで
,pe.schuman,シューマン,,3,シューマン・プラン
,pe.monnet,ジャン・モネ,,3,ヨーロッパ統合の父。画家のモネとは別人
,pe.kohl,コール,ヘルムート・コール,3,ドイツ再統一
,pe.mitterrand,ミッテラン,,3,フランス大統領
,pe.yeltsin,エリツィン,,3,ロシア初代大統領
,pe.walesa,ワレサ,,3,連帯
,pe.havel,ハヴェル,,3,ビロード革命
,pe.ceausescu,チャウシェスク,,3,ルーマニア
,pe.nixon,ニクソン,,3,訪中。ドル・ショック
,pe.johnson_lb,ジョンソン,リンドン・ジョンソン,3,ベトナム北爆。公民権法
,pe.carter,カーター,,3,キャンプ・デーヴィッド合意
,pe.bush_gh,ブッシュ,ジョージ・ブッシュ,3,湾岸戦争。マルタ会談
,pe.castro,カストロ,フィデル・カストロ,3,キューバ革命
,pe.guevara,ゲバラ,チェ・ゲバラ,3,キューバ革命
,pe.allende,アジェンデ,,3,チリの社会主義政権
,pe.peron,ペロン,,3,アルゼンチン
,pe.nkrumah,エンクルマ,ンクルマ,3,ガーナ独立
,pe.lumumba,ルムンバ,,3,コンゴ動乱
,pe.sadat,サダト,,3,キャンプ・デーヴィッド合意
,pe.arafat,アラファト,,3,PLO
,pe.rabin,ラビン,,3,オスロ合意
,pe.begin,ベギン,,3,キャンプ・デーヴィッド合意
,pe.saddam,サダム・フセイン,,3,湾岸戦争・イラク戦争
,pe.bhutto,ブット,,3,パキスタン
,pe.indira_gandhi,インディラ・ガンディー,,3,インド首相
,pe.suharto,スハルト,,3,インドネシア
,pe.aung_san,アウン・サン,,3,ビルマ独立
,pe.sihanouk,シハヌーク,,3,カンボジア
,pe.park_chung_hee,朴正煕,,3,韓国の開発独裁
,pe.kim_il_sung,金日成,,3,北朝鮮
,pe.syngman_rhee,李承晩,,3,韓国初代大統領
,pe.liu_shaoqi,劉少奇,,3,文化大革命で失脚
,pe.lin_biao,林彪,,3,文化大革命
,pe.jiang_zemin,江沢民,,3,社会主義市場経済
,pe.gorbachev_raisa,シェワルナゼ,,3,ソ連外相。新思考外交
,pe.brezhnev,ブレジネフ,,3,制限主権論
,pe.andropov,アンドロポフ,,3,ソ連書記長
,pe.dubcek,ドプチェク,,3,プラハの春
,pe.nagy,ナジ,ナジ・イムレ,3,ハンガリー事件
,pe.mossadegh,モサデグ,,3,イランの石油国有化
,pe.reza_pahlavi,パフレヴィー2世,,3,イラン革命で亡命
,pe.kemal_inonu,イノニュ,,3,トルコ
,pe.ben_bella,ベン・ベラ,,3,アルジェリア独立
,pe.selassie,ハイレ・セラシエ,,3,エチオピア
,pe.kenyatta,ケニヤッタ,,3,ケニア独立
,pe.nyerere,ニエレレ,,3,タンザニア
,pe.de_klerk,デクラーク,,3,アパルトヘイト撤廃
,pe.tutu,ツツ,デズモンド・ツツ,3,反アパルトヘイト
,pe.mother_teresa,マザー・テレサ,,3,貧民救済
