id,subject,parent_id,level,label,ord
gh.3.1,general_history,gh.3,2,第一次世界大戦と大衆社会,1
gh.3.1.1,general_history,gh.3.1,3,総力戦と国際秩序の変化,1
gh.3.1.2,general_history,gh.3.1,3,大衆社会の到来,2
gh.3.2,general_history,gh.3,2,大正デモクラシーと政党政治,2
gh.3.2.1,general_history,gh.3.2,3,政党政治の展開と社会運動,1
gh.3.3,general_history,gh.3,2,世界恐慌と満洲事変,3
gh.3.3.1,general_history,gh.3.3,3,世界恐慌の影響,1
gh.3.3.2,general_history,gh.3.3,3,満洲事変と国際的孤立,2
gh.3.4,general_history,gh.3,2,第二次世界大戦とアジア太平洋戦争,4
gh.3.4.1,general_history,gh.3.4,3,日中戦争の長期化,1
gh.3.4.2,general_history,gh.3.4,3,アジア太平洋戦争と戦後処理,2
gh.4,general_history,,1,グローバル化と私たち,4
gh.4.1,general_history,gh.4,2,冷戦と日本の独立・高度経済成長,1
gh.4.1.1,general_history,gh.4.1,3,占領改革と独立の回復,1
gh.4.1.2,general_history,gh.4.1,3,高度経済成長と国際社会への復帰,2
gh.4.2,general_history,gh.4,2,冷戦終結とグローバル化,2
gh.4.2.1,general_history,gh.4.2,3,冷戦の終結と日本,1
gh.4.2.2,general_history,gh.4.2,3,現代日本の課題,2
